dataset	species	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	interpretation_scope
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	11	1.0	adequate	AR;FKBP5;FOXA1;KLK3;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	10	0.9091	adequate	AR;FKBP5;FOXA1;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2	KLK3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	12	0.9231	adequate	DUSP1;FKBP5;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;PER1;SGK1;TAT;TSC22D3;ZBTB16	GILZ	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	0	0.0	unresolved		DUSP1;FKBP5;GILZ;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;PER1;SGK1;TAT;TSC22D3;ZBTB16	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	11	0.8462	adequate	DUSP1;FKBP5;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;SGK1;TAT;TSC22D3;ZBTB16	GILZ;PER1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	13	11	0.8462	adequate	DUSP1;FKBP5;HSD11B1;HSD11B2;KLF9;NFKBIA;NR3C1;PER1;SGK1;TSC22D3;ZBTB16	GILZ;TAT	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	11	11	1.0	adequate	ATP1A1;ATP1B1;FXYD2;HSD11B2;KCNJ1;NEDD4L;NR3C2;SCNN1A;SCNN1B;SCNN1G;SGK1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	11	0	0.0	unresolved		ATP1A1;ATP1B1;FXYD2;HSD11B2;KCNJ1;NEDD4L;NR3C2;SCNN1A;SCNN1B;SCNN1G;SGK1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	11	11	1.0	adequate	ATP1A1;ATP1B1;FXYD2;HSD11B2;KCNJ1;NEDD4L;NR3C2;SCNN1A;SCNN1B;SCNN1G;SGK1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	11	11	1.0	adequate	ATP1A1;ATP1B1;FXYD2;HSD11B2;KCNJ1;NEDD4L;NR3C2;SCNN1A;SCNN1B;SCNN1G;SGK1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	10	9	0.9	adequate	ARSB;GALNS;PAPSS1;PAPSS2;SLC26A2;SLC35B2;SULT1E1;SULT2A1;SULT2B1	STS	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	10	0	0.0	unresolved		ARSB;GALNS;PAPSS1;PAPSS2;SLC26A2;SLC35B2;STS;SULT1E1;SULT2A1;SULT2B1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	10	9	0.9	adequate	ARSB;GALNS;PAPSS1;PAPSS2;SLC26A2;STS;SULT1E1;SULT2A1;SULT2B1	SLC35B2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	10	7	0.7	partial	ARSB;GALNS;PAPSS1;PAPSS2;SLC26A2;SLC35B2;SULT2B1	STS;SULT1E1;SULT2A1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	13	5	0.3846	weak	COMT;CYP1A1;CYP1B1;HSD17B2;UGT1A1	AKR1C1;AKR1C2;CYP3A4;CYP3A5;UGT1A3;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	13	0	0.0	unresolved		AKR1C1;AKR1C2;COMT;CYP1A1;CYP1B1;CYP3A4;CYP3A5;HSD17B2;UGT1A1;UGT1A3;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	13	11	0.8462	adequate	AKR1C1;AKR1C2;COMT;CYP1A1;CYP1B1;CYP3A4;CYP3A5;HSD17B2;UGT2B15;UGT2B17;UGT2B7	UGT1A1;UGT1A3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	13	4	0.3077	weak	COMT;CYP1A1;CYP1B1;HSD17B2	AKR1C1;AKR1C2;CYP3A4;CYP3A5;UGT1A1;UGT1A3;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	14	12	0.8571	adequate	CRH;CYP11A1;CYP19A1;GPER1;HSD11B2;HSD17B1;HSD17B2;HSD3B1;NR3C1;PGR;STAR;SULT1E1	CYP21A2;STS	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	14	0	0.0	unresolved		CRH;CYP11A1;CYP19A1;CYP21A2;GPER1;HSD11B2;HSD17B1;HSD17B2;HSD3B1;NR3C1;PGR;STAR;STS;SULT1E1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	14	14	1.0	adequate	CRH;CYP11A1;CYP19A1;CYP21A2;GPER1;HSD11B2;HSD17B1;HSD17B2;HSD3B1;NR3C1;PGR;STAR;STS;SULT1E1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	14	7	0.5	partial	CYP11A1;GPER1;HSD11B2;HSD17B1;HSD17B2;NR3C1;STAR	CRH;CYP19A1;CYP21A2;HSD3B1;PGR;STS;SULT1E1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	12	11	0.9167	adequate	ABCA1;ABCG1;APOE;CYP7A1;NR0B2;NR1H2;NR1H3;NR1H4;RXRA;RXRB;SREBF1	SHP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	12	0	0.0	unresolved		ABCA1;ABCG1;APOE;CYP7A1;NR0B2;NR1H2;NR1H3;NR1H4;RXRA;RXRB;SHP;SREBF1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	12	11	0.9167	adequate	ABCA1;ABCG1;APOE;CYP7A1;NR0B2;NR1H2;NR1H3;NR1H4;RXRA;RXRB;SREBF1	SHP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	12	9	0.75	adequate	ABCA1;ABCG1;APOE;NR0B2;NR1H2;NR1H3;RXRA;RXRB;SREBF1	CYP7A1;NR1H4;SHP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	14	13	0.9286	adequate	ACACA;ACACB;ACLY;ACSL3;ACSL4;ELOVL1;ELOVL5;ELOVL6;ELOVL7;FASN;ME1;MLXIPL;SREBF1	SCD	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	14	0	0.0	unresolved		ACACA;ACACB;ACLY;ACSL3;ACSL4;ELOVL1;ELOVL5;ELOVL6;ELOVL7;FASN;ME1;MLXIPL;SCD;SREBF1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	14	13	0.9286	adequate	ACACA;ACACB;ACLY;ACSL3;ACSL4;ELOVL5;ELOVL6;ELOVL7;FASN;ME1;MLXIPL;SCD;SREBF1	ELOVL1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	14	12	0.8571	adequate	ACACA;ACLY;ACSL3;ACSL4;ELOVL1;ELOVL5;ELOVL6;ELOVL7;FASN;ME1;MLXIPL;SREBF1	ACACB;SCD	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	16	16	1.0	adequate	ACADL;ACADM;ACADS;ACOX1;CPT1A;CPT1B;CPT1C;CPT2;ECHS1;ETFA;ETFB;ETFDH;HADHA;HADHB;PPARA;PPARGC1A		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	16	0	0.0	unresolved		ACADL;ACADM;ACADS;ACOX1;CPT1A;CPT1B;CPT1C;CPT2;ECHS1;ETFA;ETFB;ETFDH;HADHA;HADHB;PPARA;PPARGC1A	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	16	16	1.0	adequate	ACADL;ACADM;ACADS;ACOX1;CPT1A;CPT1B;CPT1C;CPT2;ECHS1;ETFA;ETFB;ETFDH;HADHA;HADHB;PPARA;PPARGC1A		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	16	16	1.0	adequate	ACADL;ACADM;ACADS;ACOX1;CPT1A;CPT1B;CPT1C;CPT2;ECHS1;ETFA;ETFB;ETFDH;HADHA;HADHB;PPARA;PPARGC1A		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	16	16	1.0	adequate	CEPT1;CHKA;CHKB;CHPT1;LPCAT1;LPCAT2;LPCAT3;LPCAT4;PCYT1A;PCYT1B;PEMT;PISD;PLA2G4A;PLA2G6;PLD1;PLD2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	16	0	0.0	unresolved		CEPT1;CHKA;CHKB;CHPT1;LPCAT1;LPCAT2;LPCAT3;LPCAT4;PCYT1A;PCYT1B;PEMT;PISD;PLA2G4A;PLA2G6;PLD1;PLD2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	16	15	0.9375	adequate	CEPT1;CHKA;CHKB;CHPT1;LPCAT1;LPCAT2;LPCAT3;LPCAT4;PCYT1A;PCYT1B;PEMT;PLA2G4A;PLA2G6;PLD1;PLD2	PISD	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	16	16	1.0	adequate	CEPT1;CHKA;CHKB;CHPT1;LPCAT1;LPCAT2;LPCAT3;LPCAT4;PCYT1A;PCYT1B;PEMT;PISD;PLA2G4A;PLA2G6;PLD1;PLD2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	20	20	1.0	adequate	ASAH1;CERS1;CERS2;CERS3;CERS4;CERS5;CERS6;DEGS1;KDSR;SGMS1;SGMS2;SGPL1;SMPD1;SMPD2;SMPD3;SPHK1;SPHK2;SPTLC1;SPTLC2;SPTLC3		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	20	0	0.0	unresolved		ASAH1;CERS1;CERS2;CERS3;CERS4;CERS5;CERS6;DEGS1;KDSR;SGMS1;SGMS2;SGPL1;SMPD1;SMPD2;SMPD3;SPHK1;SPHK2;SPTLC1;SPTLC2;SPTLC3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	20	19	0.95	adequate	ASAH1;CERS2;CERS3;CERS4;CERS5;CERS6;DEGS1;KDSR;SGMS1;SGMS2;SGPL1;SMPD1;SMPD2;SMPD3;SPHK1;SPHK2;SPTLC1;SPTLC2;SPTLC3	CERS1	gene-coverage feasibility only; expression direction and statistical signal remain untested
